Organism/Name,origin,order,family,subfamily,genus
Acidianus bottle-shaped virus,RefSeq-v99,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-v99,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 3,RefSeq-v99,,Ampullaviridae,,Ampullavirus
Acidianus filamentous virus 1,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus spindle-shaped virus 1,RefSeq-v99,,Fuselloviridae,,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-v99,,Bicaudaviridae,,
Acidianus two-tailed virus,RefSeq-v99,,Bicaudaviridae,,Bicaudavirus
Aeropyrum coil-shaped virus,RefSeq-v99,,Spiraviridae,,Alphaspiravirus
Aeropyrum globular virus 1,RefSeq-v99,,,,
Aeropyrum pernix bacilliform virus 1,RefSeq-v99,,Clavaviridae,,Clavavirus
Aeropyrum pernix ovoid virus 1,RefSeq-v99,,Guttaviridae,,Betaguttavirus
Aeropyrum pernix spindle-shaped virus 1,RefSeq-v99,,,,
Archaeal BJ1 virus,RefSeq-v99,Caudovirales,Siphoviridae,,
Haloarcula californiae icosahedral virus 1,RefSeq-v99,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Haloarcula hispanica icosahedral virus 2,RefSeq-v99,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Haloarcula hispanica pleomorphic virus 1,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Haloarcula hispanica pleomorphic virus 2,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Haloarcula hispanica pleomorphic virus 3,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Haloarcula hispanica pleomorphic virus 4,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Haloarcula hispanica virus PH1,RefSeq-v99,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Haloarcula hispanica virus SH1,RefSeq-v99,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Halobacterium phage phiH,RefSeq-v99,Caudovirales,Myoviridae,,Myohalovirus
Halogeometricum pleomorphic virus 1,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum phage CGphi46,RefSeq-v99,Caudovirales,Siphoviridae,,
Halorubrum phage HF2,RefSeq-v99,Caudovirales,Myoviridae,,
Halorubrum pleomorphic virus 1,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Halorubrum pleomorphic virus 10,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 11,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 12,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 2,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Halorubrum pleomorphic virus 3,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 6,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Halovirus HCTV-1,RefSeq-v99,,,,
Halovirus HCTV-2,RefSeq-v99,,,,
Halovirus HCTV-5,RefSeq-v99,,,,
Halovirus HGTV-1,RefSeq-v99,,,,
Halovirus HHTV-1,RefSeq-v99,,,,
Halovirus HHTV-2,RefSeq-v99,,,,
Halovirus HRTV-4,RefSeq-v99,,,,
Halovirus HRTV-5,RefSeq-v99,Caudovirales,Myoviridae,,
Halovirus HRTV-7,RefSeq-v99,Caudovirales,Myoviridae,,
Halovirus HRTV-8,RefSeq-v99,Caudovirales,Myoviridae,,
Halovirus HSTV-1,RefSeq-v99,,,,
Halovirus HSTV-2,RefSeq-v99,Caudovirales,Myoviridae,,
Halovirus HVTV-1,RefSeq-v99,,,,
Halovirus VNH-1,RefSeq-v99,,,,
His 1 virus,RefSeq-v99,,Halspiviridae,,Salterprovirus
His2 virus,RefSeq-v99,Haloruvirales,Pleolipoviridae,,Gammapleolipovirus
Hyperthermophilic Archaeal Virus 1,RefSeq-v99,,,,
Hyperthermophilic Archaeal Virus 2,RefSeq-v99,,,,
Metallosphaera turreted icosahedral virus,RefSeq-v99,,,,
Methanobacterium phage psiM2,RefSeq-v99,Caudovirales,Siphoviridae,,Psimunavirus
Methanothermobacter phage psiM100,RefSeq-v99,Caudovirales,Siphoviridae,,
