Organism/Name,origin,order,family,subfamily,genus
Natrialba phage PhiCh1,RefSeq-v99,Caudovirales,Myoviridae,,Myohalovirus
Nitrosopumilus spindle-shaped virus,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Pyrobaculum filamentous virus 1,RefSeq-v99,,Tristromaviridae,,Alphatristromavirus
Pyrobaculum spherical virus,RefSeq-v99,,Globuloviridae,,Globulovirus
Pyrococcus abyssi virus 1,RefSeq-v99,,,,
Stygiolobus rod-shaped virus,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobales Beppu filamentous virus 2,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Alphalipothrixvirus
Sulfolobales Beppu filamentous virus 3,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
Sulfolobales Mexican fusellovirus 1,RefSeq-v99,,Fuselloviridae,,
Sulfolobales Mexican rudivirus 1,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobales Virus YNP2,RefSeq-v99,,,,
Sulfolobales virus YNP1,RefSeq-v99,,,,
Sulfolobus ellipsoid virus 1,RefSeq-v99,,Ovaliviridae,,Alphaovalivirus
Sulfolobus filamentous virus 1,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Alphalipothrixvirus
Sulfolobus islandicus filamentous virus,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Sulfolobus islandicus rod-shaped virus 1,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 10,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 11,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 2,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 4,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 5,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 6,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 7,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 8,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rod-shaped virus 9,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus islandicus rudivirus 3,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Sulfolobus monocaudavirus SMV1,RefSeq-v99,,Bicaudaviridae,,
Sulfolobus monocaudavirus SMV2,RefSeq-v99,,Bicaudaviridae,,
Sulfolobus monocaudavirus SMV3,RefSeq-v99,,Bicaudaviridae,,
Sulfolobus monocaudavirus SMV4,RefSeq-v99,,Bicaudaviridae,,
Sulfolobus polyhedral virus 1,RefSeq-v99,,Portogloboviridae,,Alphaportoglobovirus
Sulfolobus spindle-shaped virus 1,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus spindle-shaped virus 2,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus spindle-shaped virus 4,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus spindle-shaped virus 5,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus spindle-shaped virus 6,RefSeq-v99,,Fuselloviridae,,Betafusellovirus
Sulfolobus spindle-shaped virus 7,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus turreted icosahedral virus 1,RefSeq-v99,Belfryvirales,Turriviridae,,Alphaturrivirus
Sulfolobus turreted icosahedral virus 2,RefSeq-v99,Belfryvirales,Turriviridae,,Alphaturrivirus
Sulfolobus virus Kamchatka 1,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus virus Ragged Hills,RefSeq-v99,,Fuselloviridae,,Alphafusellovirus
Sulfolobus virus STSV1,RefSeq-v99,,Bicaudaviridae,,
Sulfolobus virus STSV2,RefSeq-v99,,Bicaudaviridae,,
Thermococcus prieurii virus 1,RefSeq-v99,,,,
Thermoproteus tenax spherical virus 1,RefSeq-v99,,Globuloviridae,,Globulovirus
Thermoproteus tenax virus 1,RefSeq-v99,,Tristromaviridae,,Alphatristromavirus
