origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Salmonella phage IKe,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Lineavirus
RefSeq-v211,Spiroplasma phage C74,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,Vespertiliovirus
RefSeq-v211,Enterobacteria phage SP,Orthornavirae,Lenarviricota,Leviviricetes,Levivirales,Leviviridae,Allolevivirus
RefSeq-v211,Escherichia phage G4,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gequatrovirus
RefSeq-v211,Salmonella phage Fels-1,,,,,,
RefSeq-v211,Phage Gifsy-1,,,,,,
RefSeq-v211,Spiroplasma phage R8A2B,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,Vespertiliovirus
RefSeq-v211,Vibrio phage VfO3K6,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Versovirus
RefSeq-v211,Ralstonia phage p12J,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,
RefSeq-v211,Spiroplasma phage SVTS2,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,Suturavirus
RefSeq-v211,Pseudomonas phage phi13,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Escherichia virus I22,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Lineavirus
RefSeq-v211,Pseudomonas virus phi6,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Ralstonia phage RSM1,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Habenivirus
RefSeq-v211,Ralstonia phage RSS1,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Restivirus
RefSeq-v211,Pseudomonas phage PRR1,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus
RefSeq-v211,Spiroplasma virus SkV1CR23x,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,Vespertiliovirus
RefSeq-v211,Vibrio phage VEJ,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Fibrovirus
RefSeq-v211,Escherichia virus BZ13,Orthornavirae,Lenarviricota,Leviviricetes,Levivirales,Leviviridae,Levivirus
RefSeq-v211,Vibrio phage VCY-phi,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Vicialiavirus
RefSeq-v211,Ralstonia phage PE226,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Parhipatevirus
RefSeq-v211,Escherichia phage ID2 Moscow/ID/2001,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gequatrovirus
RefSeq-v211,Bdellovibrio phage phiMH2K,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bdellomicrovirus
RefSeq-v211,Stenotrophomonas phage phiSHP2,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,
RefSeq-v211,Pseudomonas virus Pf1,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Primolicivirus
RefSeq-v211,Xanthomonas virus Cf1c,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Coriovirus
RefSeq-v211,Streptococcus phage 315.3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Bacillus phage phBC6A51,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Bacillus phage phBC6A52,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Pseudomonas phage phiNN,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Chlamydia phage 4,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Chlamydiamicrovirus
RefSeq-v211,Ralstonia phage RSM3,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Habenivirus
RefSeq-v211,Pseudomonas phage phi2954,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Pseudomonas phage phiYY,Orthornavirae,Duplornaviricota,Vidaverviricetes,Mindivirales,Cystoviridae,Cystovirus
RefSeq-v211,Escherichia phage ID21,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Escherichia phage ID32,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Escherichia phage NC35,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Escherichia phage WA45,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Escherichia phage NC28,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Escherichia phage ID62,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Escherichia phage ID52,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gequatrovirus
RefSeq-v211,Escherichia phage NC29,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Alphatrevirus
RefSeq-v211,Xanthomonas phage Xf109,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Xylivirus
RefSeq-v211,Stenotrophomonas phage SMA6,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Scuticavirus
RefSeq-v211,Aeropyrum coil-shaped virus,,,,,Spiraviridae,Alphaspiravirus
RefSeq-v211,Thermus phage phiOH3,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Paulinoviridae,Thomixvirus
RefSeq-v211,Vibrio phage Vf12,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Villovirus
RefSeq-v211,Ralstonia phage Rs551,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Habenivirus
RefSeq-v211,Ralstonia phage phiAp1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,
RefSeq-v211,Phage Gifsy-2,,,,,,
RefSeq-v211,Salmonella virus Fels2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Felsduovirus
RefSeq-v211,Streptococcus phage 315.1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Streptococcus phage 315.2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Streptococcus phage 315.4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Streptococcus phage 315.5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,,
RefSeq-v211,Streptococcus phage 315.6,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Staphylococcus phage phiN315,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Escherichia virus Lambda_1H12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lambdavirus
RefSeq-v211,Vibrio phage vB_VpaS_OWB,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Maculvirus
RefSeq-v211,Acinetobacter phage SWH-Ab-3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Mycobacterium phage Mendokysei,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bernalvirus
RefSeq-v211,Escherichia phage H8,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Mycobacterium phage Adephagia,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Pseudoalteromonas phage HP1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Zobellviridae,Melvirus
RefSeq-v211,Pseudomonas phage vB_PaeS_PAO1_Ab19,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Mesyanzhinovviridae,Abidjanvirus
RefSeq-v211,Mycobacterium phage Taquito,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Urkel,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Amelie,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Pectobacterium phage PP81,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Pektosvirus
RefSeq-v211,Pectobacterium phage PP47,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Pektosvirus
RefSeq-v211,Mycobacterium phage Hurricane,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Amgine,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Krueger,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage SirPhilip,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Unicorn,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Amohnition,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage DarthP,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage LastHope,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Bella96,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Agrobacterium phage Atu_ph07,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Polybotosvirus
RefSeq-v211,Mycobacterium phage Apocalypse,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Acinetobacter phage SWH-Ab-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Mycobacterium phage LaterM,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Paola,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Adonis,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage MooMoo,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage Leston,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage AlishaPH,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Byougenkin,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Cheoctovirus
RefSeq-v211,Mycobacterium phage Beezoo,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Thonko,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage Rando14,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Serendipitous,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Acadianvirus
RefSeq-v211,Mycobacterium phage Saguaro,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage CRB2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Mycobacterium phage Prithvi,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage Henu3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Mycobacterium phage KiSi,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
