origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Bacillus phage Mgbh1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Magadivirus
RefSeq-v211,Arthrobacter phage BarretLemon,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Marthavirus
RefSeq-v211,Arthrobacter phage KellEzio,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Kelleziovirus
RefSeq-v211,Arthrobacter phage Kitkat,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Kelleziovirus
RefSeq-v211,Arthrobacter phage Mudcat,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Mudcatvirus
RefSeq-v211,Pyrobaculum filamentous virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus
RefSeq-v211,Salmonella phage 118970_sal2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Epseptimavirus
RefSeq-v211,Salmonella phage 100268_sal2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Epseptimavirus
RefSeq-v211,Flavobacterium phage Fpv2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Fipvunavirus
RefSeq-v211,Flavobacterium phage Fpv20,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Fipvunavirus
RefSeq-v211,Flavobacterium phage Fpv3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Fipvunavirus
RefSeq-v211,Bacillus phage AR9,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Takahashivirus
RefSeq-v211,Pseudomonas phage phiPMW,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Plaisancevirus
RefSeq-v211,Pseudomonas phage pf16,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Chakrabartyvirus
RefSeq-v211,Dinoroseobacter phage DS-1410Ws-06,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Sanyabayvirus
RefSeq-v211,Roseobacter phage RD-1410W1-01,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Aoqinvirus
RefSeq-v211,Erwinia phage vB_EamM_Deimos-Minion,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Agricanvirus
RefSeq-v211,Erwinia phage vB_EamM_RAY,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Agricanvirus
RefSeq-v211,Erwinia phage vB_EamM_Simmy50,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Agricanvirus
RefSeq-v211,Erwinia phage vB_EamM_Special G,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Agricanvirus
RefSeq-v211,Gordonia phage BetterKatz,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Betterkatzvirus
RefSeq-v211,Gordonia phage Emalyn,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Emalynvirus
RefSeq-v211,Gordonia phage Hotorobo,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Montyvirus
RefSeq-v211,Gordonia phage Katyusha,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Demosthenesvirus
RefSeq-v211,Gordonia phage Phinally,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Gordonia phage Vivi2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Vividuovirus
RefSeq-v211,Gordonia phage Yvonnetastic,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Yvonnevirus
RefSeq-v211,Pseudomonas phage PEV2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Litunavirus
RefSeq-v211,Acinetobacter phage vB_AbaM_ME3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Metrivirus
RefSeq-v211,Gordonia phage Bachita,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Smoothievirus
RefSeq-v211,Gordonia phage ClubL,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Smoothievirus
RefSeq-v211,Gordonia phage Cozz,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Emalynvirus
RefSeq-v211,Gordonia phage Demosthenes,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Demosthenesvirus
RefSeq-v211,Gordonia phage Kvothe,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Demosthenesvirus
RefSeq-v211,Gordonia phage Monty,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Montyvirus
RefSeq-v211,Gordonia phage Orchid,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Orchidvirus
RefSeq-v211,Gordonia phage Smoothie,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Smoothievirus
RefSeq-v211,Gordonia phage Splinter,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Vendettavirus
RefSeq-v211,Gordonia phage Vendetta,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Vendettavirus
RefSeq-v211,Gordonia phage Woes,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Woesvirus
RefSeq-v211,Pseudomonas phage NP1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Nipunavirus
RefSeq-v211,Pseudomonas phage VSW-3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Napahaivirus
RefSeq-v211,Serratia phage vB-Sru-IME250,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Taipeivirus
RefSeq-v211,Shigella phage SHSML-45,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Salmonella phage GG32,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Salmonella phage vB-SalM-PM10,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Citrobacter phage vB_CfrM_CfP1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pseudotevenvirus
RefSeq-v211,Phage MedPE-SWcel-C56,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Kafavirus
RefSeq-v211,Mycobacterium phage Sneeze,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Liefievirus
RefSeq-v211,Pseudomonas phage Andromeda,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Bifseptvirus
RefSeq-v211,Cronobacter phage vB_CsaM_leE,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pseudotevenvirus
RefSeq-v211,Pectobacterium phage PP90,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Phimunavirus
RefSeq-v211,Pseudomonas phage UNO-SLW1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Pifdecavirus
RefSeq-v211,Pseudoalteromonas phage BS5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Pseudoalteromonas phage PH1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Kafunavirus
RefSeq-v211,Klebsiella phage PMBT1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Slopekvirus
RefSeq-v211,Escherichia phage ESCO13,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Phapecoctavirus
RefSeq-v211,Vibrio phage 1.224.A._10N.261.48.B1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Mukerjeevirus
RefSeq-v211,Vibrio phage 1.261.O._10N.286.51.A7,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Mukerjeevirus
RefSeq-v211,Vibrio phage 1.204.O._10N.222.46.F12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Cyclitvirus
RefSeq-v211,Vibrio phage 1.097.O._10N.286.49.B3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Dorisvirus
RefSeq-v211,Vibrio phage 1.026.O._10N.222.49.C7,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Nahantvirus
RefSeq-v211,Synechococcus phage S-CAM7,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Mazuvirus
RefSeq-v211,Erwinia phage vB_EamM_EarlPhillipIV,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Derbicusvirus
RefSeq-v211,Erwinia phage vB_EamM_Kwan,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Wellingtonvirus
RefSeq-v211,Erwinia phage vB_EamM_Phobos,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Derbicusvirus
RefSeq-v211,Cronobacter phage vB_CsaM_leB,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pseudotevenvirus
RefSeq-v211,Gordonia phage Bantam,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bantamvirus
RefSeq-v211,Gordonia phage Jumbo,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Gorjumvirus
RefSeq-v211,Gordonia phage Terapin,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Terapinvirus
RefSeq-v211,Mycobacterium phage Tonenili,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Bixzunavirus
RefSeq-v211,Mycobacterium phage Gengar,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Timquatrovirus
RefSeq-v211,Rhodococcus phage Weasels2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Weaselvirus
RefSeq-v211,Escherichia phage ESCO5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Phapecoctavirus
RefSeq-v211,Streptomyces phage Rima,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Rimavirus
RefSeq-v211,Pectobacterium phage PP2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Wanjuvirus
RefSeq-v211,Campylobacter phage vB_CjeM_Los1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Fletchervirus
RefSeq-v211,Klebsiella phage vB_Kpn_IME260,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Sugarlandvirus
RefSeq-v211,Mycobacterium phage Lukilu,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Bixzunavirus
RefSeq-v211,Vibrio phage vB_VspP_pVa5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Galateavirus
RefSeq-v211,Streptomyces phage BRock,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Borockvirus
RefSeq-v211,Vibrio phage JSF3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Pacinivirus
RefSeq-v211,Acinetobacter phage SH-Ab 15519,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Pectobacterium phage PP101,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Chaseviridae,Suwonvirus
RefSeq-v211,Salmonella phage SP01,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Ralstonia phage RP12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ripduovirus
RefSeq-v211,Aquamicrobium phage P14,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Aqualcavirus
RefSeq-v211,Providencia phage vB_PreS_PR1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Priunavirus
RefSeq-v211,Aeropyrum globular virus 1,,,,,,
RefSeq-v211,Pectobacterium phage PP99,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Gajwadongvirus
RefSeq-v211,Acinetobacter phage vB_AbaP_AS12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Acinetobacter phage vB_AbaP_AS11,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Vibrio phage Vp670,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Kaohsiungvirus
RefSeq-v211,Vibrio phage pTD1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tidunavirus
RefSeq-v211,Salmonella phage BSP101,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Pectobacterium phage vB_PatP_CB1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Cbunavirus
RefSeq-v211,Pectobacterium phage vB_PatP_CB4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Cbunavirus
RefSeq-v211,Erwinia phage vB_EamM_Yoloswag,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Yoloswagvirus
RefSeq-v211,Pectobacterium phage PPWS4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Pektosvirus
RefSeq-v211,Serratia phage BF,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Eneladusvirus
RefSeq-v211,Pectobacterium phage phiA41,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Schitoviridae,Cbunavirus
RefSeq-v211,Geobacillus phage TP-84,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Saundersvirus
RefSeq-v211,Dinoroseobacter phage vB_DshS-R5C,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Nanhaivirus
RefSeq-v211,Marinomonas phage CPP1m,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Murciavirus
RefSeq-v211,Escherichia phage phiLLS,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Lactococcus phage AM6,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Teubervirus
RefSeq-v211,Lactococcus phage LW31,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Teubervirus
RefSeq-v211,Acinetobacter phage Loki,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lokivirus
RefSeq-v211,Shewanella phage SppYZU05,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Chaseviridae,Yushanvirus
RefSeq-v211,Aeromonas phage phiA8-29,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Tedavirus
RefSeq-v211,Sphingobium phage Lacusarx,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lacusarxvirus
RefSeq-v211,Ralstonia phage phiRSL1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Mieseafarmvirus
RefSeq-v211,Bacillus phage Harambe,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Salasmaviridae,Harambevirus
RefSeq-v211,Sulfolobus polyhedral virus 1,,,,,Portogloboviridae,Alphaportoglobovirus
RefSeq-v211,Mycobacterium phage Acadian,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Acadianvirus
RefSeq-v211,Bacillus phage BeachBum,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Salasmaviridae,Harambevirus
RefSeq-v211,Acinetobacter phage WCHABP5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Clostridium phage CPS1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Guelinviridae,Gregsiragusavirus
RefSeq-v211,Erwinia phage vB_EamM_Y3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Sasquatchvirus
RefSeq-v211,Pseudomonas phage PspYZU08,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Pijolavirus
RefSeq-v211,Pectobacterium phage vB_PatP_CB5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Phimunavirus
RefSeq-v211,Vibrio phage JSF10,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Jesfedecavirus
RefSeq-v211,Vibrio phage JSF12,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Jesfedecavirus
RefSeq-v211,Salmonella virus ViI,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Pasteurella phage vB_PmuP_PHB02,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Wuhanvirus
RefSeq-v211,Pseudomonas phage Noxifer,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Noxifervirus
RefSeq-v211,Pasteurella phage PHB01,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Wuhanvirus
RefSeq-v211,Acidovorax phage ACP17,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Busanvirus
RefSeq-v211,Arthrobacter phage Beans,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Marthavirus
RefSeq-v211,Rhodococcus phage Hiro,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Rerduovirus
RefSeq-v211,Arthrobacter phage Colucci,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Klausavirus
RefSeq-v211,Arthrobacter phage Molivia,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Amigovirus
RefSeq-v211,Arthrobacter phage Abidatro,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Galaxyvirus
RefSeq-v211,Alteromonas virus vB_AspP-H4/4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Foturvirus
RefSeq-v211,Acinetobacter phage vB_AbaP_B1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Acinetobacter phage vB_AbaP_B3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Acinetobacter phage vB_ApiP_P1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Acinetobacter phage vB_ApiP_P2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Friunavirus
RefSeq-v211,Enterococcus phage Idefix,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Copernicusvirus
RefSeq-v211,Escherichia phage OSYSP,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Marinomonas phage CB5A,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Murciavirus
RefSeq-v211,Metallosphaera turreted icosahedral virus,,,,,,
RefSeq-v211,Flavobacterium phage FLiP,,,,,Finnlakeviridae,Finnlakevirus
RefSeq-v211,Pseudoalteromonas phage J2-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,
RefSeq-v211,Aeromonas phage AS-zj,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ceceduovirus
RefSeq-v211,Xanthomonas phage phi Xc10,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Pradovirus
RefSeq-v211,Serratia phage vB_SmaM_ 2050HW,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Moabitevirus
RefSeq-v211,Agrobacterium phage Atu_ph02,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Atuphduovirus
RefSeq-v211,Agrobacterium phage Atu_ph03,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Atuphduovirus
RefSeq-v211,Arthrobacter phage Piccoletto,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Marthavirus
RefSeq-v211,Arthrobacter phage Shade,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Marthavirus
RefSeq-v211,Streptomyces phage DrGrey,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Rimavirus
RefSeq-v211,Escherichia phage saus132,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Epseptimavirus
RefSeq-v211,Escherichia phage chee24,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Caulobacter phage Lullwater,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Lullwatervirus
RefSeq-v211,Salmonella phage SP1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Salmonella phage SH9,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Epseptimavirus
RefSeq-v211,Erwinia phage vB_EamM_RisingSun,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Risingsunvirus
RefSeq-v211,Aeromonas phage AS-gz,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tulanevirus
RefSeq-v211,Aeromonas phage AS-sw,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ceceduovirus
RefSeq-v211,Arthrobacter phage Adat,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Jasminevirus
RefSeq-v211,Rhodococcus phage Trina,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Trinavirus
RefSeq-v211,Enterococcus phage phiSHEF2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Efquatrovirus
RefSeq-v211,Enterococcus phage phiSHEF4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Efquatrovirus
RefSeq-v211,Enterococcus phage phiSHEF5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Efquatrovirus
RefSeq-v211,Salmonella phage LVR16A,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Epseptimavirus
RefSeq-v211,Lactobacillus phage LpeD,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Elpedvirus
RefSeq-v211,Ralstonia phage RPSC1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Stompelvirus
RefSeq-v211,Leptospira phage LE3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Nylescharonvirus
RefSeq-v211,Leptospira phage LE4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Nylescharonvirus
RefSeq-v211,Vibrio phage vB_VpaP_KF1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Maculvirus
RefSeq-v211,Vibrio phage vB_VpaP_KF2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Maculvirus
RefSeq-v211,Pectobacterium phage DU_PP_V,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Hongcheonvirus
RefSeq-v211,Ralstonia phage DU_RP_I,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Gyeongsanvirus
RefSeq-v211,Gordonia phage Lennon,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Vividuovirus
RefSeq-v211,Salinibacter virus M8CR30-2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Holosalinivirus
RefSeq-v211,Salinibacter virus M31CR41-2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Kairosalinivirus
RefSeq-v211,Stenotrophomonas phage vB_SmaS_DLP_5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Delepquintavirus
RefSeq-v211,Gluconobacter phage GC1,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Kalamavirales,Tectiviridae,Gammatectivirus
RefSeq-v211,Gordonia phage BirksAndSocks,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Montyvirus
RefSeq-v211,Corynebacterium phage C3PO,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Zierdtviridae,Ceetrepovirus
RefSeq-v211,Corynebacterium phage Darwin,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Zierdtviridae,Ceetrepovirus
RefSeq-v211,Corynebacterium phage Zion,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Zierdtviridae,Ceetrepovirus
RefSeq-v211,Gordonia phage Gustav,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Gustavvirus
RefSeq-v211,Gordonia phage Mahdia,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Gustavvirus
RefSeq-v211,Proteus phage PM135,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Novosibvirus
RefSeq-v211,Pseudomonas phage tabernarius,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tabernariusvirus
RefSeq-v211,Pseudomonas phage uligo,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Uliginvirus
RefSeq-v211,Corynebacterium phage phi673,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Ikedavirus
RefSeq-v211,Corynebacterium phage phi674,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Ikedavirus
RefSeq-v211,Klebsiella phage Sugarland,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Sugarlandvirus
RefSeq-v211,Salmonella phage SP3,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Tequintavirus
RefSeq-v211,Escherichia phage FEC14,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Kuttervirus
RefSeq-v211,Streptomyces phage WRightOn,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Manuelvirus
RefSeq-v211,Streptomyces phage Manuel,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Manuelvirus
